Genre,Title,Lyrics,Reason,Gender,Age
"팝, 발라드",payphone (pop) ,"I'm at a payphone, trying to call home
All of my change I spent on you","긴장감을 풀고, 편안하게 쉴수 있때 자주 듣는 노래이다. ",,
"팝, 발라드",pick up the phone - Henry Moodie (pop song),"It's gonna be okay
Everyone needs a bad day
Remember you told me
""You're not alone, just pick up the phone
And call me whenever you're feeling lonely""
Remember you told me
""You're not alone, just pick up the phone""",멜로디와 가사가 좋아서,,
힙합,맨까송,아 즐겁구나 오늘이,삶에 활력을 준다.,,
클래식,4:30 ,"Vier Uhr dreißig, frag' mich, wieso bin ich wieder wach?
Schon das vierte Mal, dass ich aufwach' in dieser Nacht
Wollt es wirklich Mal versuchen, aber hab's noch nie geschafft",just  listen  it ,,
힙합,"Not Okay - LOCO (hiphop, rap)","바보 같은 눈물로 젖은 긴 한숨만
걱정해 줘 내 못난 상처가 아물게
버틸 자신이 없어 난 또 제자리에서
Said I'm leaving, I'm leaving, I'm leaving

걱정해 줘 난 안 괜찮아
넌 쉬운데 난 안 되잖아
가뿐해 보이지만
신경 쓰이지 전부 다
눈 감아도 I'm not ok",로꼬 & 민니의 목소리와 음색이 좋아서 계속 듣게 되고 가사를 보면 위로가 되는 노래이기에 자주 듣습니다. ,,
발라드,marry me (  Bruno Mars ) ,"It's a beautiful night
We're looking for something dumb to do",null,,
"힙합, 발라드, R&B , CCM",태리 - 고마웠고 미안해 (R&B) Welove - 모든 상항 속에서 (CCM ),"우리 얼마나 행복했고 애틋했었는지
난 기억하는데
우리 나눴던 대화도 추억도 다 선명한데",멜로디가 좋고 가사가 좋아서,여성,17~29세
"클래식, 팝, 재즈, 힙합, 발라드",Stand By Your Man - Carla Bruni (Pop),"Stand by your man, give him two arms to cling to","가사가 너무 예쁘고, 누구아 한 번 쯤은 생각해 봤을 내용으로, 누군가를 연상시키게 만들어 주는 점이 좋다. 그리고 Tammy wynette이 부른 버전이 원곡이긴 하지만 이 리메이크 된 버전이 가수의 허스키한 목소리와 잘 맞는 세션들로 더 잘 어우러져서 본인의 취향에 더 맞다.",여성,16세이하
"팝, 뉴에이지","10CM - 소프트락, 팝","너를 향한 노래가 생겼어 
이제 웃으며 부를 수 있어",뮤즈젠은 러브송을 금지하지만 난 이제 레거시 멤버기 때문에,남성,17~29세
"팝, 록, 재즈, 발라드, J-POP",Square - Yerin Baek,Come take my arms and go I'll be your's for sure,밝은 클린톤 일렉 반주와 백예린의 목소리가 가사랑 너무 잘 어울림,남성,17~29세
"팝, 재즈, 힙합",범키.박재범.헤이즈.빅나티(싱잉랩).죠지(boat).수란(wine),가사보단 멜로디,호불호 갈리지 ×. 가볍게 듣기 좋고 언제 어디서든 잘 어울림. 아티스트 특유의 분위기/음색. 랩&노래 다 들을 수 o.,여성,17~29세
"발라드, J-POP","최종화, 아이리 칸나, 발라드","사실은 나도 있잖아, 살아가고 싶어
밀려드는 절망에 묻혀 사라지던
아픈 오늘과 두려운 내일
그 사이에 어느새 네가 들어왔어
쓰라린 날에 찬란한 네가
내게 살아있어줘서 그저 고맙다고
잊지 않을게, 영원히",그저 갓칸나,남성,17~29세
"팝, CCM",어둔날 다 지나고 - welove,우리가는 이 길 세상이 미련하다 해도~!,"찬양팀을 하면서 매우 익숙해졌고, 찬양과 제즈, 팝을 너무나도 잘 융합시켰다!",남성,17~29세
"록, 힙합, J-POP",Kendrick Lamar - DUCKWORTH.,"It was always me versus the world
Until I found it's me versus me","클래식한 샘플링과 비트, 그렇지 못한 구성과 플롯의 대비가 굉장히 인상적임",남성,17~29세
